Name,Link to soldier on AWM,Birth date,Date of birth,Birth place,Date and unit at enlistment (ORs),Final rank,Date of discharge,Conflict,Unit,Units,Date of embarkation,Embarkation date,Service number,Death date,Date of death,Death place,Place of death
Private Richard Smith,https://www.awm.gov.au/people/P10571204/#biography,none,none,"Australia: New South Wales, Hay",none,Private,none,none,none,none,1916-05-02,none,"3318 - First World War, 1914-1918",22 September 1955,1955-09-22,"Australia: New South Wales, Sydney, Rozelle",none
Private Tom Smith,https://www.awm.gov.au/people/P10605019/#biography,none,none,"Australia: Queensland, Isisford",none,Private,none,none,none,none,1917-08-01,none,"3724 - First World War, 1914-1918",none,none,none,none
Private Walter Earnest Smith,https://www.awm.gov.au/people/P10402126/#biography,none,none,"Australia: New South Wales, Ourimbah",none,Private,none,none,none,none,1914-12-19,none,"155 - First World War, 1914-1918",none,none,none,none
Private Jerome Sofin,https://www.awm.gov.au/people/P10682229/#biography,none,none,"Australia: Queensland, North Queensland, Thursday Island",none,Private,none,none,"Medical, Dental and Nursing",none,none,none,"5472 - First World War, 1914-1918",none,none,none,none
Private George James Sosar,https://www.awm.gov.au/people/P10531483/#biography,none,none,"Australia: Queensland, North Queensland, Thursday Island",none,Private,none,none,none,none,1917-06-14,none,"6839 - First World War, 1914-1918",none,none,none,none
Private Edward George Spicer,https://www.awm.gov.au/people/P10533564/#biography,none,none,"Australia: New South Wales, Kiandra",none,Private,none,none,none,none,1916-04-14,none,"1735 - First World War, 1914-1918",none,none,none,none
Private George Spooner,https://www.awm.gov.au/people/P10677983/#biography,1891,1891,"Australia: Queensland, Georgetown",none,Private,none,none,none,none,none,none,"Q19932 - First World War, 1914-1918",none,none,none,none
Private Edgar Spring,https://www.awm.gov.au/people/P10413086/#biography,none,none,"Australia: New South Wales, Mullaly Creek",none,Private,none,none,none,none,1917-05-10,none,"7580 - First World War, 1914-1918",none,none,none,none
Private Albert Augustus Hipithite Sproles,https://www.awm.gov.au/people/P10559684/#biography,1887,1887,"Australia: Queensland, Terrors Creek",none,Private,none,none,4th Australian Machine Gun Battalion,none,1916-10-20,none,"482 - First World War, 1914-1918",none,none,none,none
Private Jack Stacy,https://www.awm.gov.au/people/P10661589/#biography,1897,1897,"Australia: New South Wales, Boomi",none,Private,none,none,12th Australian Light Horse Regiment,none,1917-02-03,none,"2056 - First World War, 1914-1918",none,none,none,none
Shoeing smith Charles Fitzroy Stafford,https://www.awm.gov.au/people/P10682735/#biography,none,none,"Australia: New South Wales, Mudgee",none,Shoeing smith,none,none,none,none,1915-06-13,none,"190 - First World War, 1914-1918",none,none,none,none
Private Clyde Gilford Ortley Stafford,https://www.awm.gov.au/people/P10625806/#biography,none,none,"Australia: New South Wales, Coonabarabran",none,Private,none,none,none,none,1917-05-10,none,"3187 - First World War, 1914-1918",none,none,none,none
Private John Harold Stafford,https://www.awm.gov.au/people/P10682736/#biography,none,none,"Australia: New South Wales, Binnaway",none,Private,none,none,14th Australian Light Horse Regiment,none,none,none,"64759 - First World War, 1914-1918",none,none,none,none
Private Alexander Stanley,https://www.awm.gov.au/people/P10677984/#biography,none,none,"Australia: New South Wales, Ballina",none,Private,none,none,11th Australian Light Horse Regiment,none,none,none,"50280 - First World War, 1914-1918",none,none,none,none
Private Harold Joseph Stanton,https://www.awm.gov.au/people/P10619288/#biography,none,none,"Australia: Tasmania, Cygnet",none,Private,none,none,none,none,1916-10-21,none,"2341 - First World War, 1914-1918",none,none,none,none
Sergeant James Stanton,https://www.awm.gov.au/people/P10677809/#biography,none,none,"Australia: Victoria, Echuca",none,Sergeant,none,none,7th Australian Infantry Battalion,none,1915-11-26,none,"3265 - First World War, 1914-1918",none,none,none,none
Private William Alfred Stanton,https://www.awm.gov.au/people/P10548935/#biography,none,none,"Australia: Tasmania, Cygnet",none,Private,none,none,none,none,1916-10-21,none,"2310 - First World War, 1914-1918",30 March 1932,1932-03-30,none,none
Private Gilbert Theodore Haxle Stephen,https://www.awm.gov.au/people/P10679291/#biography,1895,1895,"Australia: Victoria, Ramahyuck",none,Private,none,none,5th Australian Infantry Battalion,none,1917-08-04,none,"7564 - First World War, 1914-1918",14 September 1919,1919-09-14,Australia,none
Sapper Alfred Stephens,https://www.awm.gov.au/people/P10677985/#biography,1890,1890,"Australia: Victoria, Stratford",1917-06-21,Sapper,1917-08-31,none,none,none,none,none,"7588 - First World War, 1914-1918",none,none,none,none
Private John Francis Allan Stevens,https://www.awm.gov.au/people/P10648299/#biography,none,none,"Australia: New South Wales, Helensburgh",none,Private,none,none,6th Australian Light Horse Regiment,none,1917-11-16,none,"3670 - First World War, 1914-1918",none,none,none,none
Private Francis Leonard Stewart,https://www.awm.gov.au/people/P10561095/#biography,none,none,"Australia: New South Wales, Cassilis",none,Private,none,none,none,none,1915-11-18,none,"1663 - First World War, 1914-1918",none,none,none,none
Private Frank Stewart,https://www.awm.gov.au/people/P10677996/#biography,1891,1891,"Australia: Victoria, Melbourne",1914-09-08,Private,1914-10-02,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Frank Stewart,https://www.awm.gov.au/people/P10680194/#biography,none,none,"Australia: New South Wales, Wallaga Lake",none,Private,none,none,5th Australian Pioneer Battalion,none,1916-03-08,none,"4911 - First World War, 1914-1918",none,none,none,none
Private John Provins Stewart,https://www.awm.gov.au/people/P10625955/#biography,none,none,"Australia: New South Wales, Geurie",none,Private,none,none,none,none,1916-01-15,none,"2088 - First World War, 1914-1918",none,none,none,none
Private John William Stewart,https://www.awm.gov.au/people/P10677810/#biography,none,none,"Australia: South Australia, Jamestown",none,Private,none,none,none,none,1915-11-18,none,"625 - First World War, 1914-1918",5 July 1956,1956-07-05,none,none
Private Melbourne Robert Stewart,https://www.awm.gov.au/people/P10470736/#biography,none,none,"Australia: New South Wales, Dubbo",none,Private,none,none,none,none,1918-02-28,none,"7131 - First World War, 1914-1918",none,none,none,none
Private Albert Edward Stow,https://www.awm.gov.au/people/P10626783/#biography,1894,1894,"Australia: New South Wales, Dungog",none,Private,none,none,"13th Field Company, Australian Engineers",none,1915-02-08,none,"742 - First World War, 1914-1918",none,none,none,none
Private Arthur Henry Stow,https://www.awm.gov.au/people/P10574370/#biography,1892,1892,"Australia: New South Wales, Dungog",none,Private,none,none,30th Australian Infantry Battalion,none,1916-02-16,none,"2162 - First World War, 1914-1918",none,none,none,none
Private Frederick William Stow,https://www.awm.gov.au/people/P10404503/#biography,1891,1891,"Australia: New South Wales, Newcastle",none,Private,none,none,"4th Australian Infantry Battalion
53rd Australian Infantry Battalion",none,1915-10-13,none,"3571 - First World War, 1914-1918",12 December 1948,1948-12-12,none,none
Private Harold Sullivan,https://www.awm.gov.au/people/P10677997/#biography,1888,1888,"Australia: New South Wales, Cobar",1917-01-04,Private,1917-01-04,none,none,none,none,none,"N51829 - First World War, 1914-1918",none,none,none,none
Private Everett Luke Sumner,https://www.awm.gov.au/people/P10481206/#biography,1896,1896,"Australia: South Australia, Point McLeay",none,Private,none,none,32nd Australian Infantry Battalion,none,1916-08-12,none,"3626 - First World War, 1914-1918",none,none,none,none
Private Wilshire Sumner,https://www.awm.gov.au/people/P10680195/#biography,none,none,"Australia: South Australia, Point McLeay",none,Private,none,none,48th Australian Infantry Battalion,none,none,none,"3458 - First World War, 1914-1918",none,none,none,none
Private Alfred Charles Susan,https://www.awm.gov.au/people/P10406578/#biography,none,none,"Australia: New South Wales, Sydney",none,Private,none,none,none,none,1915-07-14,none,"2446 - First World War, 1914-1918",none,none,none,none
Private Francis Sutherland,https://www.awm.gov.au/people/P10498911/#biography,none,none,"Australia: New South Wales, Baradine",none,Private,none,none,none,none,1918-10-05,none,"66340 - First World War, 1914-1918",none,none,none,none
Private Robert Frederick Sutherland,https://www.awm.gov.au/people/P10461774/#biography,18 March 1899,1899-03-18,"Australia: New South Wales, Lithgow",none,Private,none,none,none,none,1918-06-19,none,"54513 - First World War, 1914-1918",none,none,none,none
Private Daniel Syron,https://www.awm.gov.au/people/P10649360/#biography,1898,1898,"Australia: New South Wales, Cape Hawke",none,Private,none,none,none,none,1917-11-16,none,"3675 - First World War, 1914-1918",13 September 1952,1952-09-13,none,none
Private David Syron,https://www.awm.gov.au/people/P10613988/#biography,4 January 1895,1895-01-04,"Australia: New South Wales, Foster",none,Private,none,none,45th Australian Infantry Battalion,none,1917-01-24,none,"3452 - First World War, 1914-1918N470184 - Second World War, 1939-1945",none,none,none,none
Private George William Syron,https://www.awm.gov.au/people/P10679292/#biography,1897,1897,"Australia: New South Wales, Forster",none,Private,none,none,34th Australian Infantry Battalion,none,1916-08-24,none,"2166 - First World War, 1914-1918",3 June 1917,1917-06-03,France,none
Private John Talbott,https://www.awm.gov.au/people/P10682230/#biography,none,none,"Australia: New South Wales, Pilliga",none,Private,none,none,56th Australian Infantry Battalion,none,1916-04-01,none,"5220 - First World War, 1914-1918",4 December 1916,1916-12-04,France,none
Private William Thomas Talbott,https://www.awm.gov.au/people/P10682231/#biography,none,none,"Australia: New South Wales, Curlewis",none,Private,none,none,none,none,none,none,"N51830 - First World War, 1914-1918",none,none,none,none
Private Percival Taylor,https://www.awm.gov.au/people/P10682737/#biography,none,none,"Australia: New South Wales, Adelong",none,Private,none,none,3rd Australian Infantry Battalion,none,1916-09-09,none,"6428 - First World War, 1914-1918",4 May 1917,1917-05-04,France,none
Private Robert William Taylor,https://www.awm.gov.au/people/P10611500/#biography,none,none,"Australia: Victoria, Sale",none,Private,none,none,none,none,1916-09-25,none,"2216 - First World War, 1914-1918",none,none,none,none
Private Frederick Teare,https://www.awm.gov.au/people/P10636322/#biography,1889,1889,Australia: Queensland,none,Private,none,none,5th Australian Light Horse Regiment,none,1918-03-02,none,"3496 - First World War, 1914-1918",none,none,none,none
Private George Alexander Terrick,https://www.awm.gov.au/people/P10580174/#biography,1897,1897,"Australia: Victoria, Healesville",none,Private,none,none,14th Australian Infantry Battalion,none,1916-03-14,none,"5243 - First World War, 1914-1918",30 August 1956,1956-08-30,none,none
Private Henry Thomas,https://www.awm.gov.au/people/P10486425/#biography,1896,1896,"Australia: Victoria, Orbost",none,Private,none,none,"24th Australian Infantry Battalion
6th Australian Machine Gun Company",none,1916-07-28,none,"5097 - First World War, 1914-1918",none,none,none,none
Private Samuel George Thomas,https://www.awm.gov.au/people/P10513580/#biography,1898,1898,"Australia: Victoria, Orbost",none,Private,none,none,24th Australian Infantry Battalion,none,1917-11-21,none,"6909A - First World War, 1914-1918",none,none,none,none
Blacksmith Andrew Henry Thompson,https://www.awm.gov.au/people/P10653913/#biography,1892,1892,"Australia: New South Wales, Broken Hill",none,Blacksmith,none,none,none,none,1918-01-05,none,"27 - First World War, 1914-1918",none,none,none,none
Private Arthur Thompson,https://www.awm.gov.au/people/P10677986/#biography,1887,1887,"Australia: Western Australia, Geraldton",none,Private,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Lance Corporal Victor Albert Thompson,https://www.awm.gov.au/people/P10677813/#biography,none,none,"Australia: Western Australia, Perth",none,Lance Corporal,none,none,51st Australian Infantry Battalion,none,1915-02-22,none,"1644 - First World War, 1914-1918",13 September 1916,1916-09-13,France,none
Private William Thompson,https://www.awm.gov.au/people/P10680200/#biography,none,none,"Australia: Queensland, Goondiwindi",none,Private,none,none,Depot,none,none,none,"10786 - First World War, 1914-1918",none,none,none,none
Corporal Harry Thorpe,https://www.awm.gov.au/people/P10677711/#biography,1886,1886,"Australia: Victoria, Sale",1916-02-12,Corporal,none,none,"A Company
7th Australian Infantry Battalion",none,1916-04-04,none,"5459 - First World War, 1914-1918",9 August 1918,1918-08-09,France,none
Private William Henry Thorpe,https://www.awm.gov.au/people/P10677989/#biography,24 January 1895,1895-01-24,"Australia: New South Wales, Walcha",1916-12-28,Private,1916-12-29,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Patrick Tighe,https://www.awm.gov.au/people/P10648394/#biography,none,none,"Australia: New South Wales, Mudgee",none,Private,none,none,none,none,1917-05-09,none,"3313 - First World War, 1914-1918",none,none,none,none
Private Hubert Timbery,https://www.awm.gov.au/people/P10677990/#biography,11 December 1899,1899-12-11,"Australia: New South Wales, Port Kembla",1918-10-07,Private,none,none,none,none,none,none,"N95091 - First World War, 1914-1918",none,none,none,none
